Flu has symptoms Fever:3:0.9, Cough:2:0.6, Sore Throat:1:0.3, Fatigue:2:0.6
Fibromyalgia has symptoms Widespread Pain:3:0.9, Fatigue:2:0.6, Sleep Disturbances:2:0.6, Cognitive Issues:1:0.3
Lyme Disease has symptoms Rash:2:0.6, Fever:2:0.6, Fatigue:2:0.6, Joint Pain:2:0.6
Malaria has symptoms Fever:3:0.9, Chills:2:0.6, Sweating:1:0.3, Headache:2:0.6
Dengue Fever has symptoms High Fever:3:0.9, Severe Headache:2:0.6, Joint Pain:2:0.6, Rash:1:0.3
Zika Virus has symptoms Fever:2:0.6, Rash:2:0.6, Joint Pain:1:0.3, Red Eyes:1:0.3
West Nile Virus has symptoms Fever:2:0.6, Headache:2:0.6, Body Aches:1:0.3, Fatigue:1:0.3
Chikungunya has symptoms Fever:2:0.6, Joint Pain:3:0.9, Rash:1:0.3, Fatigue:1:0.3
Typhoid Fever has symptoms Fever:3:0.9, Weakness:2:0.6, Abdominal Pain:2:0.6, Loss of Appetite:1:0.3
Cholera has symptoms Severe Diarrhea:3:0.9, Vomiting:2:0.6, Dehydration:2:0.6, Muscle Cramps:1:0.3
Rabies has symptoms Fever:2:0.6, Headache:2:0.6, Agitation:3:0.9, Muscle Spasms:2:0.6
Tetanus has symptoms Muscle Stiffness:3:0.9, Lockjaw:3:0.9, Fever:1:0.3, Sweating:1:0.3
Diphtheria has symptoms Sore Throat:3:0.9, Fever:2:0.6, Swollen Glands:2:0.6, Weakness:1:0.3
Pertussis has symptoms Severe Cough:3:0.9, Runny Nose:1:0.3, Fever:1:0.3, Vomiting:1:0.3
Measles has symptoms Fever:2:0.6, Rash:3:0.9, Cough:1:0.3, Runny Nose:1:0.3
Mumps has symptoms Swollen Salivary Glands:3:0.9, Fever:1:0.3, Headache:1:0.3, Fatigue:1:0.3
Rubella has symptoms Rash:3:0.9, Fever:1:0.3, Sore Throat:1:0.3, Swollen Lymph Nodes:1:0.3
Chickenpox has symptoms Rash:3:0.9, Fever:2:0.6, Itching:2:0.6, Fatigue:1:0.3
Shingles has symptoms Painful Rash:3:0.9, Blisters:2:0.6, Itching:1:0.3, Fever:1:0.3
